embedding_id,Tipo,Talla,Color,Temporada,Genero,Estilo,Pais,Marca,Modelo,Ruta_Imagen
25,Suéter de punto,M | L,Beige,Otoño | Invierno,Unisex,Casual | Streetwear,Pakistan,BERSHKA,Suéter de punto con gráfico abstracto,Antonio Brayan Peña Bernabe\Prenda 5.webp
26,Sudadera con capucha,M | L,Blanco con estampado gráfico en negro,Otoño | Invierno,Unisex,Streetwear | Casual,Pakistan,Bershka,Hoodie blanco con gráfico caricaturesco en el frente,Antonio Brayan Peña Bernabe\Prenda 6.webp
27,Chaqueta con capucha,M | L,Negro desgastado,Otoño | Invierno,Unisex,Casual | Urbano,Mainland China,Bershka,,Antonio Brayan Peña Bernabe\Prenda 7.webp
28,Chaqueta estilo varsit,M | L,Azul con detalles en blanco,Otoño | Invierno,Hombre,Urbano | Streetwear,Bangladesh,Ecko Unltd.,Colección varsit,Antonio Brayan Peña Bernabe\Prenda 8.webp
29,Chaqueta acolchada ligera con capucha,M | L,Negro,Otoño | Invierno,Unisex,Casual | Deportivo,Bangladesh,Bershka,,Antonio Brayan Peña Bernabe\Prenda 9.webp
30,Conjunto de pijama,M,Durazno,Invierno,Mujer,Casual | Loungewear,México,DOFON,Conjunto de pijama manga larga con botones,Arlette Ruiz\Imagen 1\Imagen 1.webp
31,Conjunto de dos piezas,M,Blanco,Otoño | Invierno,Mujer,Casual | Deportivo,,VIOPY,,Arlette Ruiz\Imagen10\Imagen10.webp
32,Blusa sin mangas,L,Negro,Primavera | Verano,Mujer,Elegante | Casual | Formal,,HIGHSTREET,,Arlette Ruiz\Imagen11\Imagen11.webp
33,Chaleco,L,Azul marino,Otoño | Invierno,Hombre,Acolchado | Ligero,Vietnam,Amazon Essentials,,Arlette Ruiz\Imagen12\Imagen12.webp
34,Impermeable con capucha,M,Azul claro,Otoño | Invierno,Hombre,Impermeable | Forro de goma,Importado,SOLOCOTE,,Arlette Ruiz\Imagen13\Imagen13.webp
35,Chubasquero,M,Gris,Otoño | Invierno,Mujer,Impermeable | Ligero | Plegable,China,LAMA,,Arlette Ruiz\Imagen14\Imagen14.webp
36,Falda larga,M,Floral,Primavera | Verano,Mujer,Casual | Elegante | Con bolsillos,,VIOPY,,Arlette Ruiz\Imagen15\Imagen15.webp
37,Suéter,M,Hueso,Otoño,Mujer,Tipo polo | Ligero | Cuello en v,,CIDER,,Arlette Ruiz\Imagen2\Imagen2.webp
38,Chamarra,L,Blanco sucio,Invierno,Mujer,Acolchada,China,Pioneer Camp,,Arlette Ruiz\Imagen3\Imagen3.webp
39,Chamarra,M,Rojo vino,Invierno,Mujer,Bomber,,,,Arlette Ruiz\Imagen4\Imagen4.webp
40,Jeans,L,Azul,,Mujer,Pierna ancha,,Roswear,,Arlette Ruiz\Imagen5\Imagen5.webp
41,Conjunto deportivo,M,Negro,Otoño,Mujer,Deportivo,,WOMICHEFI,,Arlette Ruiz\Imagen6\Imagen6.webp
42,Pantalones cortos,,Verde militar,Verano,Mujer,Casual,,,,Arlette Ruiz\Imagen7\Imagen7.webp
43,Vestido,M,Amarillo,Verano,Mujer,Formal | Cóctel | Floral,,AGYMNX,,Arlette Ruiz\Imagen8\Imagen8.webp
44,Playera,,Blanco,Verano,Unisex,Japonés | Puzzle power,,Pokémon,,Arlette Ruiz\Imagen9\Imagen9.webp
45,Vestido mujer,S | M | L,Champán,Otoño | Invierno,Unisex,Casual,China,YINGG,,Aura_Hernandez\imagen_01\imagen_01.webp
46,Ropa deportiva,S | M | L,Negro,Primavera | Otoño,Hombre,Casual,China,Mayana,Y+N+20,Aura_Hernandez\imagen_02\imagen_02.webp
47,pantalón hombre casual,S | M | L | XL,Caqui,Primavera | Verano,Hombre,Casual,China,Vndflag,,Aura_Hernandez\imagen_03\imagen_03.webp
48,Vestido Estampado De Manga Larga Para Mujer Moda Dama Ropa,M | L | XL,Blanco Negro,Primavera | Otoño,Mujer,Fiesta | Noche | Formal,China,GUIGUA,,Aura_Hernandez\imagen_04\imagen_04.webp
49,Pantalones De Vestir Caballero Hombre Tumbados Ropa Casual,M,negro,Primavera | Verano,Hombre,Formal | Fiesta | Ceremonia | Boda,China,Domrom,,Aura_Hernandez\imagen_05\imagen_05.webp
50,Camisa Hawaiana Hombre Camisa Slim Fit Camisa Hombre,S | M | L,rojo,Primavera | Verano,Hombre,Casual | Trabajo | Vacaciones,China,HERNANDEZ SANTIAGO14,,Aura_Hernandez\imagen_06\imagen_06.webp
51,Playeras Para Mujer New,S | M | L,blanco,Primavera | Otoño,Mujer,Casual,China,,Tshirt111905WH,Aura_Hernandez\imagen_07\imagen_07.webp
52,Conjunto Para Hombre Deportivo Casual Chamarra Pants Sakers Verde Musgo G,S | M | L,verde musgo,Primavera | Otoño,Hombre,Casual | Deportivo,China,Sakers,filetto,Aura_Hernandez\imagen_08\imagen_08.webp
53,Vestido De Noche Se,S | M | L,negro,Primavera | Verano,Mujer,Casual | Formal | Fiesta,China,Miveni,,Aura_Hernandez\imagen_09\imagen_09.webp
54,Ropa Formal De Negocios Para Hombre En Color Sólido,M | L | XL,azul claro,Primavera | Verano,Hombre,Formal | Trabajo | Fiesta,China,,,Aura_Hernandez\imagen_10\imagen_10.webp
55,Vestidos De Princesas Para Niñas Ropa Moda 9 Meses - 3 Años,M,rojo,Primavera | Verano,Mujer,Casual | Fiesta,China,Govssing,,Aura_Hernandez\imagen_11\imagen_11.webp
56,Chamarra Impermeable Capucha L335 10 Pzas. Port Authority®,S | M | L | XL,gris oscuro,Primavera | Invierno,Mujer,Casual | Lluvia,China,Port Authority,,Aura_Hernandez\imagen_12\imagen_12.webp
57,Vestido De Tirantes Estampado Para Vacaciones,S | M | L,azul,Primavera | Verano,Mujer,Casual | Pla | A | Vacaciones,China,,,Aura_Hernandez\imagen_13\imagen_13.webp
58,Playera Licra Deportiva Correr Compresión Manga Larga,S | M | L,negro,Primavera | Otoño,Hombre,Casual | Camisa deportiva,China,,,Aura_Hernandez\imagen_14\imagen_14.webp
59,Leggins Deportivos Dama De Licra Con Bolsa Celular Gym,S | M | L,negro,Primavera | Otoño,Mujer,Casual deportivo | Ejercicio,China,Polaris Sport,,Aura_Hernandez\imagen_15\imagen_15.webp
60,Sudadera con capucha,M,Negro,Otoño | Invierno,Hombre,Urbano | Casual,México,Premium Streetwear,“Classic Hoodie”,Cesar Orozco\imagen 1\imagen 1.webp
61,Sudadera con capucha,M,Gris medio,Primavera | Otoño,Hombre,Casual | Básico deportivo,México,Urban Basics,Light Hoodie 2025,Cesar Orozco\imagen 10\imagen 10.webp
62,Sudadera con capucha,L,Negro,Otoño | Invierno,Hombre,Casual | Urbano,México,Levi’s,34259-0005,Cesar Orozco\imagen 11\imagen 11.webp
63,Sudadera con capucha,M,Gris jaspeado oscuro,Otoño | Invierno,Hombre,Deportivo | Athleisure,México,Under Armour,Rival Fleece Hoodie,Cesar Orozco\imagen 12\imagen 12.webp
64,Sudadera con capucha tipo pullover,M,Negro con logo blanco,Otoño | Invierno,Hombre,Urbano | Skate | Casual,México,Vans,VN0A456BY28,Cesar Orozco\imagen 13\imagen 13.webp
65,Sudadera con cuello alto,M,Lila,Primavera | Otoño,Mujer,Kawaii | Casual,México,Sanrio,FDIC Kuromi Zip,Cesar Orozco\imagen 14\imagen 14.webp
66,Jerse,L,Blanco con detalles negro,,Unisex,Esports | Gaming,Alemania,Fnatic,2024 Championships Kit Pro,Cesar Orozco\imagen 15\imagen 15.webp
67,Sudadera fleece con cuello alto,L,Bicolor,Otoño | Invierno,Hombre,Confort | Casual,México,Greenlander,FCE8320A,Cesar Orozco\imagen 2\imagen 2.webp
68,Sudadera con capucha,M,Negro con detalles rojos blancos,Otoño | Invierno,Hombre,Deportivo | Urbano,México,New Era,Chicago Bulls Hood,Cesar Orozco\imagen 3\imagen 3.webp
69,Sudadera casual con cuello redondo,M,Rosa claro,Otoño | Invierno,Mujer,Urbano | Casual,México,Disney,DIAN,Cesar Orozco\imagen 4\imagen 4.webp
70,Sudadera con capucha,S | M | L | XXL,Negro,Otoño | Invierno,Unisex,Urbano | Casual,México,Skechers,AUH005BLK,Cesar Orozco\imagen 5\imagen 5.webp
71,Sudadera con capucha,S | M | L | XXL,Negro,Otoño | Invierno,Hombre,Deportivo | Casual,México,Shend,Urban Zip Hoodie,Cesar Orozco\imagen 6\imagen 6.webp
72,Sudadera con media cremallera,S | M | L | XXL,Negro con detalles en plateado metálico,Otoño | Invierno,Hombre,Deportivo | Casual,México,Under Armour,UA Drive Pro Storm Hybrid Zip,Cesar Orozco\imagen 7\imagen 7.webp
73,Sudadera cerrada de manga larga sin capucha,S | M | L,Blanco con detalles en azul pastel,Otoño | Invierno,Mujer,Kawaii | Casual,México,Sanrio,Cinnamoroll Basic Hoodie,Cesar Orozco\imagen 8\imagen 8.webp
74,Sudadera cerrada de manga larga sin capucha,M,Beige con estampado multicolor,Primavera | Otoño,Mujer,Casual | Pop culture,México,Pixar Apparel,Buttercup LU01,Cesar Orozco\imagen 9\imagen 9.webp
75,Camiseta Gráfica,M,Blanco con estampado multicolor,Verano,Unisex,Urbano,Estados Unidos,Street Threads,Cosmic Wanderer,Edgar Gonzalez\Imagen 1\Imagen 1.webp
76,Abrigo Largo de Lana,M,Camel,Invierno,Mujer,Sofisticado,Italia,Capote Classico,Elegance Wool,Edgar Gonzalez\Imagen 10\Imagen 10.webp
77,Sudadera con Capucha,L,Negro con logo blanco,Todo el año,Unisex,Urbano | Skate,Canadá,Maple Street,Urban Explorer,Edgar Gonzalez\Imagen 11\Imagen 11.webp
78,Kimono,UNITALLA,Estampado floral multicolor sobre fondo negro,Verano | Primavera,Mujer,Bohemio | Étnico,Japón,Sakura Dreams,Garden Serenity,Edgar Gonzalez\Imagen 12\Imagen 12.webp
79,Pantalones Chinos,34 | 30,Beige,Primavera | Verano,Hombre,Smart casual,España,Sol,Mediterráneo,Edgar Gonzalez\Imagen 13\Imagen 13.webp
80,Top Crop de Algodón,S,Blanco puro,Verano,Mujer,Minimalista,Suecia,Clean Lines,Summer Breeze,Edgar Gonzalez\Imagen 14\Imagen 14.webp
81,Traje de Baño Entero,M,Azul turquesa,Verano,Mujer,Pla | Ero | Retro,Australia,Ocean Wave,Coral Coast,Edgar Gonzalez\Imagen 15\Imagen 15.webp
82,Vestido de Cóctel,S,Azul marino,Primavera | Otoño,Mujer,Elegante,Francia,Belle Nuit,Étoile Bleue,Edgar Gonzalez\Imagen 2\Imagen 2.webp
83,Chaqueta de Cuero,L,Negro,Otoño | Invierno,Hombre,Rocker,Italia,Moto Moda,Rebel Rider,Edgar Gonzalez\Imagen 3\Imagen 3.webp
84,Pantalones Vaqueros,32,Azul claro desgastado,Todo el año,Unisex,Casual,Japón,Denim Soul,Vintage Fade,Edgar Gonzalez\Imagen 4\Imagen 4.webp
85,Bufanda de Lana,UNITALLA,Rojo burdeos,Invierno,Unisex,Clásico,Escocia,Highland Weave,Crimson Comfort,Edgar Gonzalez\Imagen 5\Imagen 5.webp
86,Suéter de Punto,L,Verde bosque,Invierno,Hombre,Rústico,Noruega,Nordic Knit,Forest Hearth,Edgar Gonzalez\Imagen 6\Imagen 6.webp
87,Blusa de Seda,M,Rosa pastel,Primavera,Mujer,Romántico,China,Silk Bloom,Cherr,Edgar Gonzalez\Imagen 7\Imagen 7.webp
88,Shorts Deportivos,L,Gris oscuro,Verano,Hombre,Deportivo,Alemania,Active Edge,Gym Beast,Edgar Gonzalez\Imagen 8\Imagen 8.webp
89,Falda Plisada,S,Amarillo mostaza,Otoño,Mujer,Vintage,Reino Unido,Retro Chic,Autumn Breeze,Edgar Gonzalez\Imagen 9\Imagen 9.webp
90,Chaqueta,M,Verde Oliva,Primavera | Otoño,Hombre,Casual | Elegante | Oficina | Viajes | Deportes,China,,,Emmanuel Gonzalez\img_01\img_01.webp
91,Chaqueta de béisbol,M,Verde,Otoño | Invierno,Hombre,Urbano | Casual | Diario,China,,,Emmanuel Gonzalez\img_02\img_02.webp
92,Chaqueta,M,Marrón,Invierno,Hombre,Formal | Informal | Casual | Deportivo | Aire libre,China,,,Emmanuel Gonzalez\img_03\img_03.webp
93,Chaqueta tipo denim con forro polar grueso,M,Azul,Invierno,Hombre,Casual | Clásico | E | Terior | Aire libre,China,,,Emmanuel Gonzalez\img_04\img_04.webp
94,Chaqueta bomber gruesa estilo vintage,M,Azul Marino,Invierno,Hombre,Casual | Vintage,China,,,Emmanuel Gonzalez\img_05\img_05.webp
95,Vestido con sombrero,S,Multicolor,Primavera | Verano,Mujer,Casual | Infantil,China,,,Emmanuel Gonzalez\img_06\img_06.webp
96,Conjunto de 3 piezas,S,Multicolor,Primavera | Verano,Mujer,Casual | Adorable | Infantil,China,,,Emmanuel Gonzalez\img_07\img_07.webp
97,Conjunto de 3 piezas,S,Multicolor,Verano,Mujer,Casual | Infantil | Aire libre,China,,,Emmanuel Gonzalez\img_08\img_08.webp
98,Vestido de Verano de mezclilla,S,Azul,Primavera | Verano,Mujer,Casual | Infantil | Aire libre,China,,,Emmanuel Gonzalez\img_09\img_09.webp
99,Vestido de manga larga,S,Azul Marino con rayas multicolor,Otoño | Invierno,Mujer,Princesa | Casual | Infantil,China,,,Emmanuel Gonzalez\img_10\img_10.webp
100,Conjunto sudadera,S | M,Multicolor,Otoño | Invierno,Hombre,Casual | Deportivo | Aire libre | Moda infantil,China,,,Emmanuel Gonzalez\img_11\img_11.webp
101,Conjunto de 4 piezas,S,Rojo con detalles blancos,Otoño | Invierno | Festiva,Hombre,Festivo | Navidad | Fiesta | Infantil,China,,,Emmanuel Gonzalez\img_12\img_12.webp
102,Conjunto de tirantes,S,Parte superior multicolor,Otoño | Invierno | Festiva,Hombre,Fiesta | Festiva | Actuación | Infantil,China,,,Emmanuel Gonzalez\img_13\img_13.webp
103,Mono,S,Multicolor,Otoño | Invierno | Festiva,Hombre,Superhéroe | 3d | Infantil | Casual,China,,,Emmanuel Gonzalez\img_14\img_14.webp
104,Vestido de fiesta con mangas voladas,S,Azul,Todo el año | Festiva,Mujer,Formal | Casual | Infantil | Festivo,China,,,Emmanuel Gonzalez\img_15\img_15.webp
105,Camisa Signature Leyenda Checo Pérez Blanco,M,Blanca,,Hombre,Casual,México,MAJA SPORTSWEAR,C-CO27-2,Enrique Molina\Imagen 1\Imagen 1.webp
106,Bolsa Tote Bag,UNITALLA,Beige,,Mujer,Casual,México,LuckyLy,Bolsa Siena,Enrique Molina\Imagen 10\Imagen 10.webp
107,Abrigo Cazador Invierno,S,Verde Olivo,Otoño | Invierno,Mujer,Casual,Japón,T-lab,T.LAB JACKET,Enrique Molina\Imagen 11\Imagen 11.webp
108,Tenis Vans Old Skool,24,Rosa,Primavera | Verano,Mujer,Urbano,Estados Unidos,Vans,OLD SKOOL RASPBERRY,Enrique Molina\Imagen 12\Imagen 12.webp
109,Playera Athlete Tee,S,Gris,,Mujer,Running,Estados Unidos,Reebok,TS0107,Enrique Molina\Imagen 13\Imagen 13.webp
110,Pantalón de Gabardina Stretch para Niño,14,Chocolate,Otoño | Invierno,Hombre,Urbano,México,John Silver,Skinn,Enrique Molina\Imagen 14\Imagen 14.webp
111,Sandalias Crocs Classic Clog Unisex,21,Blanco,Primavera | Verano,Hombre,Slides,Estados Unidos,Crocs,Classic Clog,Enrique Molina\Imagen 15\Imagen 15.webp
112,Playera licra deportiva manga larga,M,Negra,Invierno,Hombre,Compresión manga larga,China,,,Enrique Molina\Imagen 2\Imagen 2.webp
113,Tenis Lacoste Sintéticos,28,Negro,Primavera | Verano,Hombre,Casual,México,Lacoste,Chaymon,Enrique Molina\Imagen 3\Imagen 3.webp
114,Trusa de Algodón,M,Blanco,Primavera | Verano,Hombre,Interior,México,Fruit Of The Loom,4P7601M.7TT,Enrique Molina\Imagen 4\Imagen 4.webp
115,Chamarra Caballero Mangas,M,Cafe,Otoño | Invierno,Hombre,Casual,México,Roosevelt,ERIK-LE2501,Enrique Molina\Imagen 5\Imagen 5.webp
116,Tenis para Correr de Hombre Nike Revolution,27,Verde,,Hombre,Running,México,Nike,HJ9198-300,Enrique Molina\Imagen 6\Imagen 6.webp
117,Lentes de sol Hawkers Dark One Venm Hybrid,UNITALLA,Negro,,Unisex,Casual,Méixco,Hawkers,One Venm Hybrid,Enrique Molina\Imagen 7\Imagen 7.webp
118,Pantalón de Dama Trabajo,M,Gris,Primavera | Verano,Mujer,Formal,Estados Unidos,Estilo Urbano,P13839,Enrique Molina\Imagen 8\Imagen 8.webp
119,Chamarra de Gamuza Aborregado,M,Camel,Otoño | Invierno,Mujer,Casual,México,Roosevelt,NORA-LE2501,Enrique Molina\Imagen 9\Imagen 9.webp
120,Impermeable,L,Verde caqui,,Mujer,Deportivo,México,H&M,1283791001,Esdras Victoria\img_1\img1.webp
121,Chamarra,S,Azul Marino,,Hombre,Gamuza,México,C&A,3108069,Esdras Victoria\img_10\img10.webp
122,Top,S,Negro,,Mujer,Cuello v,México,C&A,3102648,Esdras Victoria\img_11\img11.webp
123,Falda,32,Azul,,Mujer,Mini con remaches,México,C&A,3113496,Esdras Victoria\img_12\img12.webp
124,Vestido,M,Negro,,Mujer,Corto rayas,México,C&A,3106884,Esdras Victoria\img_13\img13.webp
125,Moño,UNITALLA,Rojo,,Mujer,Para cabello,México,C&A,3109918,Esdras Victoria\img_14\img14.webp
126,Pantalón,28,Negro,,Mujer,Contraste cintura,Méxic,C&A,3105463,Esdras Victoria\img_15\img15.webp
127,Chamarra,M,Café oscuro,,Mujer,Chamarra puffer,México,H&M,1188469001,Esdras Victoria\img_2\img2.webp
128,Gabardina,M,Beige,,Mujer,Botonadura doble,México,H&M,1259401001,Esdras Victoria\img_3\img3.webp
129,Medias,,,,Mujer,Medias pelo,México,STUDIO F,S219221,Esdras Victoria\img_4\img4.webp
130,Blazer,S,Azul,,Mujer,Corto satinado de fit recto,México,HIGHSTREET,,Esdras Victoria\img_5\img5.webp
131,Camisa,S,Negro,,Hombre,Regular fit,México,BOBOIS,46850130182364,Esdras Victoria\img_6\img6.webp
132,Bermuda,29,Negro,,Hombre,Slim fit,México,BOBOIS,43870716264668,Esdras Victoria\img_7\img7.webp
133,Playera,L,Gris,,Hombre,Manga corta,México,BOBOIS,46832256778460,Esdras Victoria\img_8\img8.webp
134,Jeans,31,Indigo,,Hombre,Mezclilla,México,BOBOIS,39720394588353,Esdras Victoria\img_9\img9.webp
135,Pantalón De Dama Trabajo Pierna Ancha,M,Heather Charcoal,Primavera,Mujer,Formal,Mexico,Estilo Urbano,P13839,Hector Contreras\Imagen 1\Imagen 1.webp
136,Jersey,S,Amarillo,Verano,Hombre,Deportivo,Mexico,Adidas,KRD14,Hector Contreras\Imagen 10\Imagen 10.webp
137,Chamarra De Hombre Con Capucha Expedition Lätt M Fjallraven,L,Navy,Invierno,Hombre,Casual,Mexico,Fjallraven,Expedition Lätt M,Hector Contreras\Imagen 11\Imagen 11.webp
138,Levi's® Chamarra Trucker De Mezclilla Para Hombre 72334-0130,L,Azul,Otoño,Hombre,Casual,Mexico,Levi's,72334-0130,Hector Contreras\Imagen 12\Imagen 12.webp
139,Pantalón De Vestir Casual Para Hombre Cómodo Pantalones,30,Azul marino,Verano,Hombre,Casual | Formal,Mexico,Causix,118,Hector Contreras\Imagen 13\Imagen 13.webp
140,Camisa Signature Leyenda Checo Pérez Blanco,S,Blanco,Primavera,Hombre,Casual,Mexico,MAJA SPORTSWEAR,C-CO27-2,Hector Contreras\Imagen 14\Imagen 14.webp
141,Pantalón Para Hombre Estilo Formal En Poliéster De Express,36,SENATOR,Primavera,Hombre,Formal,Mexico,Express,3255261101B1725,Hector Contreras\Imagen 15\Imagen 15.webp
142,Chamarra Mujer Invierno Cuello Interior Aborregado Gamuza,M,Camel,Invierno,Mujer,Casual,Mexico,Roosevelt,NORA-LE2501,Hector Contreras\Imagen 2\Imagen 2.webp
143,Chamarra Chaqueta Abrigo Cazadora Invierno Mujer,S,Rosa claro,Invierno,Mujer,Casual,Mexico,T-LAB,T.LAB JACKET,Hector Contreras\Imagen 3\Imagen 3.webp
144,Pantalon Acampanado Colombiano De Dama Con Stretch Itzi 511,5,Marino liso,Verano,Mujer,Casual,Mexico,Itzi Colombian Jeans,LEVANTA POMPA COLOMBIANO,Hector Contreras\Imagen 4\Imagen 4.webp
145,Pantalon Recto De Moda Maria Bela Modelo Tiel,L,Negro,Primavera,Mujer,Casual,Mexico,MARIA BELA,Tiel,Hector Contreras\Imagen 5\Imagen 5.webp
146,Chamarras Mujer Chaqueta Cortavientos De Piel Para Mujer,M,Negro,Verano,Mujer,Casual,Mexico,Colorworld,COL11-15,Hector Contreras\Imagen 6\Imagen 6.webp
147,Leggins Deportivos Dama De Licra Con Bolsa Celular Gym,S,Gris oxford,Verano,Mujer,Deportivo,Mexico,Polaris Sport,Bolsa de celular,Hector Contreras\Imagen 7\Imagen 7.webp
148,Playera Aeroread,S,Blanco,Verano,Hombre,Deportivo,Mexico,Adidas,42164,Hector Contreras\Imagen 8\Imagen 8.webp
149,Jean Airflex+ Temp tech Slim Straight Con Parches,30,Lavado destruido oscuro,Primavera,Hombre,Casual,Mexico,American Eagle,AirFlex+ Temp Tech Slim Straight Jean con Parches,Hector Contreras\Imagen 9\Imagen 9.webp
150,Chándal,S,Negro,Otoño | Invierno,Unisex,Deportivo | Fútbol,Alemania,Adidas,Real Madrid Edition,Jaime Fraire\Imagen 1\Imagen 1.webp
151,Conjunto de polo,M,Negro liso,Verano,Hombre,Deportivo | Casual,China,Generic Athletic,Summer Set,Jaime Fraire\Imagen 10\Imagen 10.webp
152,Playera de manga corta,L,Negro con estampado de manos sosteniendo billetes,Verano | Otoño,Mujer,Urbano | Streetwear,China,Cash Flow,Hype Tee,Jaime Fraire\Imagen 11\Imagen 11.webp
153,Playera de manga corta estilo polo.,M,Azul marino,Verano | Primavera,Hombre,Militar | Casual,Vietnam,Tactical Gear,Arm,Jaime Fraire\Imagen 12\Imagen 12.webp
154,Conjunto deportivo de camiseta,L,Negro,Verano,Hombre,Deportivo | Entrenamiento,Taiwán,Sport Tech,Two Tone,Jaime Fraire\Imagen 13\Imagen 13.webp
155,Playera de manga corta estilo polo.,M,Gris claro,Verano | Primavera,Hombre,Casual | Elegante,Estados Unidos,Polo Flex,Modern Fit,Jaime Fraire\Imagen 14\Imagen 14.webp
156,Chándal completo con sudadera con capucha,M,Verde militar claro,Otoño | Invierno,Hombre,Urbano | Athleisure,Corea del Sur,Urban Outdoor,Windrunner Set,Jaime Fraire\Imagen 15\Imagen 15.webp
157,Vestido largo,S,Blanco con estampado floral azul,Verano | Primavera,Mujer,Romántico | Bohemio,Italia,Blossom Couture,Azure Floral,Jaime Fraire\Imagen 2\Imagen 2.webp
158,Pantalones cargo,L,Kaki,Todas,Hombre,Urbano | Casual,Pakistán,Adventurer Co.,Urban Cargo,Jaime Fraire\Imagen 3\Imagen 3.webp
159,Camiseta de compresión de manga larga,L,Negro,Todas,Hombre,Deportivo | Ropa interior técnica,Vietnam,ProFormance,Compression 360,Jaime Fraire\Imagen 4\Imagen 4.webp
160,Shorts deportivos,L,Negro,Verano,Hombre,Deportivo | Tenis,China,Wilson,Court Challenger,Jaime Fraire\Imagen 5\Imagen 5.webp
161,Camiseta de manga corta,M,Blanco con estampado de texto negro,Verano,Mujer,Urbano | Casual,Estados Unidos,Urban Vibe,New,Jaime Fraire\Imagen 6\Imagen 6.webp
